['8630324898#', '112.554559', '37.949535']
['8630487229#', '112.555912', '37.949277']
['8630027820#', '112.555475', '37.948655']
['8630034770#', '112.54071', '37.949157']
['8630142257#', '112.553461', '37.949012']
['8630713659#', '112.532755', '37.947836']
['8630744282#', '112.564301', '37.946456']
['8631093931#', '112.570971', '37.947189']
['8630749843#', '112.538495', '37.948583']
['8630736095#', '112.529511', '37.946719']
['8630431471#', '112.483898', '37.948681']
['8630843869#', '112.631364', '37.946077']
['8630146522#', '112.48749', '37.945821']
['8630700283#', '112.539331', '37.947321']
['8630709970#', '112.533906', '37.945916']
['8630807089#', '112.54897', '37.948626']
['8630060431#', '112.555851', '37.94688']
['8630069879#', '112.555917', '37.946867']
['8630358639#', '112.571926', '37.945563']
['8630120163#', '112.588521', '37.944435']
['8630030594#', '112.535976', '37.946039']
['8630220122#', '112.500304', '37.942012']
['8630069810#', '112.564683', '37.945067']
['8630841389#', '112.533844', '37.945901']
['8630146155#', '112.533888', '37.945889']
['8631076792#', '112.545458', '37.946321']
['8630431675#', '112.545395', '37.94632']
['8630061910#', '112.549677', '37.946206']
['8630295366#', '112.550605', '37.9462']
['8630350466#', '112.55765', '37.947059']
['8630029911#', '112.551192', '37.946284']
['8630485211#', '112.531797', '37.944565']
['8630120394#', '112.533552', '37.945131']
['8630153272#', '112.533361', '37.944305']
['8631057617#', '112.537862', '37.944874']
['8630777401#', '112.516971', '37.944062']
['0106716375#', '112.555701', '37.945624']
['0226608332#', '112.634385', '37.944305']
['8610149666#', '112.552104', '37.945288']
['8630592788#', '112.556754', '37.945223']
['8630807285#', '112.568595', '37.94321']
['8630802587#', '112.550035', '37.944617']
['8630481815#', '112.598111', '37.938736']
['8630226153#', '112.51867', '37.944246']
['8630291806#', '112.518589', '37.944136']
['8630283943#', '112.527248', '37.944079']
['8630717351#', '112.533514', '37.94425']
['0106511504#', '112.546958', '37.944466']
['8630499758#', '112.557358', '37.944642']
['8630716974#', '112.534789', '37.9442']
['8630484410#', '112.534687', '37.944169']
['8630490690#', '112.564585', '37.942709']
['8630496672#', '112.530452', '37.942833']
['0106640202#', '112.494272', '37.941577']
['8630156601#', '112.491262', '37.940409']
['8630007401#', '112.533514', '37.944115']
['8630708970#', '112.533559', '37.944078']
['8630142943#', '112.533613', '37.944048']
['8630241642#', '112.544101', '37.942451']
['8630744573#', '112.539813', '37.941906']
['8630029973#', '112.547615', '37.942853']
['8630223774#', '112.430437', '37.941587']
['8630789787#', '112.535456', '37.943714']
['0106708660#', '112.551036', '37.942717']
['8630223393#', '112.549963', '37.943304']
['8630480798#', '112.549914', '37.943303']
['8631040932#', '112.478838', '37.938475']
['8630008599#', '112.539397', '37.941676']
['8630220938#', '112.538232', '37.9423']
['0100259695#', '112.541345', '37.940773']
['8630599301#', '112.536858', '37.941988']
['8630708449#', '112.564708', '37.939739']
['8630222866#', '112.545655', '37.94095']
